6Key,File,Type,UsedInMainMenu,NoTranslate,english
lbu_SkullCrusherDesc,progression,Perk,,,"Learn by Use: [Strength] Use any Sledgehammer to upgrade half the SkullCrusher skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_BrawlerName,progression,Perk,,,"Brawler Skills"
lbu_BrawlerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use your Fists to upgrade half the Brawler skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_MachineGunnerName,progression,Perk,,,"Machine Gunner Skills"
lbu_MachineGunnerDesc,progression,Perk,,,"Learn by Use: [Fortitude] Use any Assault Rifle or Machinegun to upgrade half the Machinegunner skill points. Increases are applied cumulatively per Level."
lbu_ArcheryName,progression,Perk,,,"Archery Skills"
lbu_ArcheryDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bow to upgrade half the Archery skill points. Increases are applied cumulatively per Level."
lbu_GunslingerName,progression,Perk,,,"Gunslinger Skills"
lbu_GunslingerDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Handgun or SMG to upgrade half the Gunslinger skill points. Increases are applied cumulatively per Level."
lbu_DeepCutsName,progression,Perk,,,"Deep Cuts Skills"
lbu_DeepCutsDesc,progression,Perk,,,"Learn by Use: [Agility] Use any Bladed Weapon to upgrade half the DeepCuts skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_HiddenStrikeName,progression,Perk,,,"Hidden Strike Skills"
lbu_HiddenStrikeDesc,progression,Perk,,,"Learn by Use: [Agility] While sneaking, kill or wound any enemies when they are unaware to upgrade half the Hidden Strike skill points. Increases are applied cumulatively per Level. Applies to the same weapons as the Hidden Strike Perk"
lbu_ElectrocutionerName,progression,Perk,,,"Electrocutioner Skills"
lbu_ElectrocutionerDesc,progression,Perk,,,"Learn by Use: [Intellect] Use any Baton to upgrade half the Electrocutioner skill points. Increases are applied cumulatively per Level. Killing blows grant from 1 to 15 stamina over levels 1-50. There are 2 StaminaLoss values shown below - the second one is for Power Attacks."
lbu_RoboticsName,progression,Perk,,,"Robotics Skills"
lbu_RoboticsDesc,progression,Perk,,,"Learn by Use: [Intellect] Use any Robotic Weapon to upgrade half the Robotics skill points. There are 2 RoundsPerMinute values shown below. The first is melee (holding the Turret) and the second is ranged (Turret placed)."
perkMiner69rDesc,progression,perk Str,,,"Maximize your mining efforts by increasing tool damage to bring down rocks and trees faster. \nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkMiner69rRank1LongDesc,progression,perk Str,,,"Everyone has to start somewhere. Increase tool damage by 5% and block damage by 15% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 4% and 8% for power attacks. Find more tools and parts in loot."
perkMiner69rRank2LongDesc,progression,perk Str,,,"You're still a little green, but you aren't fetching the Muckmen blackstrap anymore. Increase tool damage by 10% and block damage by 30% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 7% and 15% for power attacks. Find more tools and parts in loot."
perkMiner69rRank3LongDesc,progression,perk Str,,,"You're now a professional miner, or what they called “Muckmen”, back in the day. Increase tool damage by 15% and block damage by 45% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 10% and 20% for power attacks. Find more tools and parts in loot."
perkMiner69rRank4LongDesc,progression,perk Str,,,"You can crack rock with the best of them now. Increase tool damage by 20% and block damage by 60% with any axe, pick, shovel, chainsaw or auger. Stamina costs are reduced by 13% and 25% for power attacks. Find more tools and parts in loot."
perkMiner69rRank5LongDesc,progression,perk Str,,,"You're the legendary Miner 69'er and can find the juicy center of any rock faster than a horny bullfrog. Increase damage by 25% and block damage by 75% with any axe, pick, shovel, chainsaw or auger. Find more tools and parts in loot."
perkMotherLodeDesc,progression,perk Str,,,"Harvest more resources and bring home the mother lode.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkMotherLodeRank1LongDesc,progression,perk Str,,,"You've found your first small vein and are envy of all the Johnny Newcomes.\nHarvest 10% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank2LongDesc,progression,perk Str,,,"Finding more ore is starting to become second nature to you. Harvest 20% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank3LongDesc,progression,perk Str,,,"You've hit your stride and can probably make a decent living at this. Harvest 30% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank4LongDesc,progression,perk Str,,,"You are going to need an Irish baby buggy to carry all this ore. Harvest 40% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkMotherLodeRank5LongDesc,progression,perk Str,,,"Mining is second nature to you and you find the mother lode everywhere you go. Harvest 50% more from ore, stone, terrain blocks and trees with any axe, pick, shovel, chainsaw or auger."
perkPummelPeteDesc,progression,perk Str,,,"Specialize in knocking your foes senseless with clubs and bats.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkPummelPeteRank1LongDesc,progression,perk Str,,,"You might not pack a punch, but as a roughneck you can swing a club! Clubs deal 5% more damage, attacks do 20% more damage to stunned enemies, and power attacks have a 60% chance to knock foes down. Stamina reduced by 4% and power attacks by 8%. Find more clubs and parts in loot."
perkPummelPeteRank2LongDesc,progression,perk Str,,,"You're making a name for yourself as a dangerous thug. Clubs deal 10% more damage, attacks do 40% more damage to stunned enemies, and power attacks have a 70% chance to knock foes down. Stamina reduced by 7% and power attacks by 15%. Find more clubs and parts in loot."
perkPummelPeteRank3LongDesc,progression,perk Str,,,"You hit hard enough to be in the big leagues now. Clubs deal 15% more damage, attacks do 60% more damage to stunned enemies, and power attacks have a 80% chance to knock foes down. Stamina reduced by 10% and power attacks by 20%. Killing blows grant 5 stamina. Landing 5 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkPummelPeteRank4LongDesc,progression,perk Str,,,"When you said stay down, you meant it. Clubs deal 20% more damage, attacks do 80% more damage to stunned enemies, and power attacks have a 90% chance to knock foes down. Stamina reduced by 13% and power attacks by 25%. Killing blows grant 10 stamina. 4 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkPummelPeteRank5LongDesc,progression,perk Str,,,"Pummel Pete once took on 50 zombies with just a club and he would be proud of you. Clubs deal 25% more damage, attacks do 100% more damage to stunned enemies, and power attacks have a 100% chance to knock foes back down. Killing blows grant 15 stamina. 3 successive hits in a short time causes the last blow to do 100% extra damage. Find more clubs and parts in loot."
perkSalvageOperationsDesc,progression,perk Per,,,"Waste not, want not! Salvage items for more resources with a wrench, ratchet or impact driver.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkSalvageOperationsRank1LongDesc,progression,perk Per,,,"Who knows what useful items can be found when tearing things apart? Salvage tools deal 5% more damage, harvest 10% faster, and gain up to 10% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 4% and 8% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank2LongDesc,progression,perk Per,,,"Most people call you “Scavver”, but at least it's an honest living. Salvage tools deal 10% more damage, harvest 20% faster, and gain up to 20% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 8% and 15% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank3LongDesc,progression,perk Per,,,"You have a knack for salvaging more useful parts than the average scrapper. Salvage tools deal 15% more damage, harvest 30% faster, and gain up to 30% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 10% and 20% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank4LongDesc,progression,perk Per,,,"Your ability to gather salvaged parts is remarkable. Salvage tools deal 20% more damage, harvest 30% faster, and gain up to 40% more resources with a wrench, ratchet or impact driver. Stamina costs are reduced by 13% and 15% for power attacks. Find more salvage tools and parts in loot."
perkSalvageOperationsRank5LongDesc,progression,perk Per,,,"You're king of the junk dealers and envy of the grease monkeys of the apocalypse. Salvage tools deal 25% more damage, harvest 50% faster, and gain up to 50% more resources with a wrench, ratchet or impact driver. Find more salvage tools and parts in loot."
perkDeadEyeDesc,progression,perk Per,,,"Specialize in taking keen aim with rifles and wasting your target with an expertly-placed bullet. One shot, one kill.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkDeadEyeRank1LongDesc,progression,perk Per,,,Pot Shot. You can hit the broad side of a barn and do 5% more damage with rifles. Aim and reload 5% faster.
perkDeadEyeRank2LongDesc,progression,perk Per,,,"You are a rifleman and can hit a large rock at 30 yards. Rifles deal 10% more damage, aim 10% faster, reload 8% faster."
perkDeadEyeRank3LongDesc,progression,perk Per,,,"You are now a marksman and can hold your own. Rifles deal 15% more damage, aim 16% faster, reload 10% faster, and use 10% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 10%, 20% to a maximum of 30%."
perkDeadEyeRank4LongDesc,progression,perk Per,,,"You are now a sharpshooter. Rifles deal 20% more damage, aim 23% faster, reload 13% faster, and use 20% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 20%, 30% to a maximum of 40%."
perkDeadEyeRank5LongDesc,progression,perk Per,,,"Dead Eye: Through all the hard training and countless shooting, you are now a dead eye sniper. Rifles deal 25% more damage, aim 30% faster, reload 15% faster, and use 30% less stamina while aiming down the sights.\nKill Streak: Successive kills increase damage bonus by 30%, 40% up to a maximum of 50%."
perkJavelinMasterDesc,progression,perk Per,,,"Learn to inflict more damage and slow your enemies with power attacks.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkDemolitionsExpertDesc,progression,perk Per,,,"Specialize in explosive weapons to stun, cripple and dismember your foes.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkDemolitionsExpertRank1LongDesc,progression,perk Per,,,"You are now a grenadier initiate, be careful with those explosives. Increase damage 5%, reload speed 8%, aim 5% faster, 50% chance to stun enemies and a 3% greater chance to dismember."
perkDemolitionsExpertRank2LongDesc,progression,perk Per,,,"Increase damage by 10%, reload speed 10%, aim 10% faster, 100% chance to stun enemies, and a 5% greater chance to dismember."
perkDemolitionsExpertRank3LongDesc,progression,perk Per,,,"You are now an explosives handler. Increase damage 15%, increase reload speed by 13%, aim 15% faster, have a 33% chance to cripple enemies and a 10% greater chance to dismember."
perkDemolitionsExpertRank4LongDesc,progression,perk Per,,,"You are now a Rocket Man. Increase damage 20%, reload speed by 15%, aim 20% faster, have a 66% chance to cripple enemies and a 15% greater chance to dismember."
perkDemolitionsExpertRank5LongDesc,progression,perk Per,,,"Demolitions expert. You make things go boom in a big way. Increase damage 25%, reload speed by 18%, aim 25% faster and a 23% greater chance to dismember. Stun lasts longer on enemies."
perkJavelinMasterRank1LongDesc,progression,perk Per,,,"Sticks and stones can't break my bones, but if combined make a nice spear. Spears do 5% more damage and power attacks have a 10% chance to slow enemies. Stamina costs are reduced by 4% and 8% for power attacks. Find more spears and parts in loot."
perkJavelinMasterRank2LongDesc,progression,perk Per,,,Spears inflict 10% more damage and power attacks have a 20% chance to slow enemies. Stamina costs are reduced by 8% and 15% for power attacks. Find more spears and parts in loot.
perkJavelinMasterRank3LongDesc,progression,perk Per,,,Spears inflict 15% more damage and and power attacks have a 30% chance to slow enemies. Stamina costs are reduced by 10% and 20% for power attacks. Killing blows grant 10 stamina. Find more spears and parts in loot.
perkJavelinMasterRank4LongDesc,progression,perk Per,,,Spears inflict 20% more damage and power attacks have a 40% chance to slow enemies. Stamina costs are reduced by 13% and 25% for power attacks. Killing blows grant 20 stamina. Find more spears and parts in loot.
perkJavelinMasterRank5LongDesc,progression,perk Per,,,"You're now a Spear Master! If this wasn't the apocalypse, you could be in the Olympics! Spears inflict 25% more damage and power attacks have a 50% chance to slow enemies. Killing blows grant 30 stamina. Find more spears and parts in loot."
perkBoomstickDesc,progression,perk Str,,,"Specialize with shotguns and send your enemies to meet their maker. Do more damage, blow limbs off, shoot and reload faster.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkBoomstickRank1LongDesc,progression,perk Str,,,"Maybe your aim isn't so good or you just like doing a lot of damage up close and personal. Either way a hobo with a shotgun is not to be messed with. Shotguns deal 5% more damage, 5% faster fire rate, and 5% faster reload. Stun enemies for 6 seconds.\nIncreases chance to dismember by 5%."
perkBoomstickRank2LongDesc,progression,perk Str,,,"Roaming the wastelands as a nomad have improved your abilities with shotguns. Shotguns deal 10% more damage, 10% faster fire rate, and 15% faster reload.\nIncreases chance to dismember by 10%."
perkBoomstickRank3LongDesc,progression,perk Str,,,"If shotgun meets were still a thing, you'd be hitting those clay ducks and be considered a shotgun pro. Shotguns deal 15% more damage, 15% faster fire rate, and 10% faster reload. Stun enemies for 8 seconds."
perkBoomstickRank4LongDesc,progression,perk Str,,,"You are now very deadly with a shotgun and considered a shotgun master and master of the shotgun. Shotguns deal 20% more damage, 20% faster fire rate, and 13% faster reload."
perkBoomstickRank5LongDesc,progression,perk Str,,,"You've ascended to the legendary status of Shotgun Messiah, as you are the last thing they see before meeting their maker. Shotguns deal 25% more damage, 25% faster fire rate, and a 15% faster reload.\nLegs shots cripple opponents."
perkSkullCrusherDesc,progression,perk Str,,,"Specialize in destroying enemies and structures with sledgehammers.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkSkullCrusherRank1LongDesc,progression,perk Str,,,"You're a bruiser! With a little luck, you can sometimes knock down geriatric zombies. Sledgehammers deal 5% more damage. 15% chance to knock down enemies with power attacks. Stamina costs are reduced by 8% and 15% for power attacks. Find more sledges and parts in loot."
perkSkullCrusherRank2LongDesc,progression,perk Str,,,"You're now a mauler, but don't get too cocky yet. Sledgehammers deal 10% more damage. 30% chance to knock down enemies with power attacks. Stamina costs are reduced by 8% and 15% for power attacks. Find more sledges and parts in loot."
perkSkullCrusherRank3LongDesc,progression,perk Str,,,You're a certified smasher of things that get in your way. Sledgehammers deal 15% more damage. Power attacks have a 45% chance to knock down enemies and a 20% chance to knock down nearby foes. Stamina costs are reduced by 10% and 20% for power attacks. Killing blows grant 5 stamina. Find more sledges and parts in loot.
perkSkullCrusherRank4LongDesc,progression,perk Str,,,You're a bone breaker! Sledgehammers deal 20% more damage. Power attacks have a 60% chance to knock down enemies and a 35% chance to knock down nearby foes. Stamina costs are reduced by 13% and 15% for power attacks. Killing blows grant 10 stamina. Find more sledges and parts in loot.
perkSkullCrusherRank5LongDesc,progression,perk Str,,,"Skull Crusher. If anyone pisses you off, you have the means to crush their skull. Sledgehammers deal 25% more damage. Power attacks have a 75% chance to knock down enemies and a 50% chance to knock down nearby foes. Killing blows grant 15 stamina. Find more sledges and parts in loot."
perkBrawlerDesc,progression,perk For,,,"Learn martial arts and use your fists to stun, knock down, disarm and ragdoll your opponent.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkBrawlerRank1LongDesc,progression,perk For,,,Tired of being bullied by the undead? Zombies can't bite if you knock their damn teeth out! Knuckled weapons deal 5% more damage. Punches to the head negate infection ability. Stamina costs are reduced by 4% and 8% for power attacks. Find more knuckle weapons and parts in loot.
perkBrawlerRank2LongDesc,progression,perk For,,,You've been in a few fights and can hold your own. Knuckle weapons deal 10% more damage and have a 30% chance to stagger opponents with power attacks. Stamina costs are reduced by 8% and 15% for power attacks. Find more knuckle weapons and parts in loot.
perkBrawlerRank3LongDesc,progression,perk For,,,All the fighting and scrapping has added up and you're a real slugger now. Knuckle weapons deal 15% more damage. Power attacks to the head have a 20% chance to knock down your opponent. Stamina costs are reduced by 10% and 20% for power attacks. Killing blows grant 5 stamina. Find more knuckle weapons and parts.
perkBrawlerRank4LongDesc,progression,perk For,,,"You're now good enough to compete in professional boxing, but smashing zombies faces in will have to do. Knuckle weapons deal 20% more damage. Power attacks to the head have a 30% chance to knock down your opponent. Stamina costs are reduced by 13% and 25% for power attacks. Killing blows grant 10 stamina. Find more knuckle weapons and parts in loot."
perkBrawlerRank5LongDesc,progression,perk For,,,You're now a complete mixed martial artist and a registered lethal weapon. Knuckle weapons deal 25% more damage and have a higher chance to explode heads with punches. Killing blows grant 15 stamina. Find more knuckle weapons and parts in loot.
perkMachineGunnerDesc,progression,perk For,,,"Become a commando using assault rifles to slay your foes.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkMachineGunnerRank1LongDesc,progression,perk For,,,"Spray and Pray is your thing. Machine guns deal 5% more damage, 3% faster fire rate and 5% faster reload.\nFind more machine guns, parts, and 7.62mm ammo in loot."
perkMachineGunnerRank2LongDesc,progression,perk For,,,"You are no commando, but you do what it takes to get the job done. Machine guns deal 10% more damage, 5% faster fire rate and 8% faster reload.\nFind more machine guns, parts, and 7.62mm ammo in loot."
perkMachineGunnerRank3LongDesc,progression,perk For,,,"All the combat has sharpened your skills and you are now a soldier. Machine guns deal 15% more damage, 8% faster fire rate and reload 10% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 2 stamina.\nFind more machine guns, parts, and 7.62mm ammo in loot."
perkMachineGunnerRank4LongDesc,progression,perk For,,,"Your skill now matches the special forces. Machine guns deal 20% more damage, 10% faster fire rate and reload 13% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 4 stamina.\nFind more machine guns, parts, and 7.62mm ammo in loot."
perkMachineGunnerRank5LongDesc,progression,perk For,,,"You are now the ultimate machine gunner. Machine guns deal 25% more damage, 13% faster fire rate and reload 15% faster. Commando Adrenaline: Each shot scored with automatic weapons gives you 6 stamina.\nFind more machine guns, parts, and 7.62mm ammo in loot."
perkArcheryDesc,progression,perk Agi,,,"Master the use of bows and crossbows.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkArcheryRank1LongDesc,progression,perk Agi,,,"Many start on the path of the ranger but few can reach it. Bows deal 5% more damage, 5% faster aim, draw and reload with bows.\nFind more bows and parts in loot."
perkArcheryRank2LongDesc,progression,perk Agi,,,"You still have much to learn, grasshopper. Bows deal 10% more damage, 10% faster aim, draw and reload with bows.\nFind more bows and parts in loot."
perkArcheryRank3LongDesc,progression,perk Agi,,,"All the rigorous training has turned you into a marksman with Bows. Bows deal 15% more damage, 15% faster aim, draw and reload with bows.\nFind more bows and parts in loot."
perkArcheryRank4LongDesc,progression,perk Agi,,,"You can split a hair you are so good at archery now. Bows deal 20% more damage, 20% faster aim, draw and reload with bows.\nFind more bows and parts in loot."
perkArcheryRank5LongDesc,progression,perk Agi,,,"You have mastered archery and are now a ranger. Bows deal 25% more damage, 25% faster aim, draw and reload with bows.\nFind more bows and parts in loot."
perkGunslingerDesc,progression,perk Agi,,,"Settle your disputes the old way and be a gunslinger in the apocalypse. Master the use of handguns and SMG.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkGunslingerRank1LongDesc,progression,perk Agi,,,"You're no Wyatt Earp but you're better than the average drifter. Handguns deal 5% more damage, 3% faster fire rate, and 5% faster reload with handguns.\nFind more handguns, parts, and 9mm ammo in loot."
perkGunslingerRank2LongDesc,progression,perk Agi,,,"You are making a name for yourself, outlaw. Handguns deal 10% more damage, 5% faster fire rate, and reload 8% faster with handguns.\nFind more handguns, parts, and 9mm ammo in loot."
perkGunslingerRank3LongDesc,progression,perk Agi,,,"You can keep most situations under control, sheriff. Handguns deal 15% more damage, 8% faster fire rate, and reload 10% faster. Critical Damage: 5 successive hits in a short time cause critical damage.\nFind more handguns, parts, and 9mm ammo in loot."
perkGunslingerRank4LongDesc,progression,perk Agi,,,"You're now a gunfighter and can clear out a saloon full of rowdy bastards at the drop of a hat. Handguns deal 20% more damage, 10% faster fire rate, and reload 13% faster. Critical Damage: 4 successive hits in a short time cause the last shot to do 100% extra damage.\nFind more handguns, parts, and 9mm ammo in loot."
perkGunslingerRank5LongDesc,progression,perk Agi,,,"You are the fastest gunslinger in Navezgane. Handguns deal 25% more damage, 13% faster fire rate, and 15% faster reload with handguns. Critical Damage: 3 successive hits in a short time cause the last shot to do 100% extra damage.\nFind more handguns, parts, and 9mm ammo in loot."
perkDeepCutsDesc,progression,perk Agi,,,"Specialize in using bladed weapons like knives or machetes (not axes) to bleed your foes dry.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkDeepCutsRank1LongDesc,progression,perk Agi,,,"You might have a dull blade, but you know how to use it. Bladed weapons deal 5% more damage. Inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Enemies run 10% slower while bleeding. Stamina costs are reduced by 4% and 8% for power attacks. Find more bladed weapons and parts in loot."
perkDeepCutsRank2LongDesc,progression,perk Agi,,,Your friends say you're a really knife guy. Bladed weapons deal 10% more damage. Inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3. Stamina costs are reduced by 8% and 15% for power attacks. Find more bladed weapons and parts in loot.
perkDeepCutsRank3LongDesc,progression,perk Agi,,,You're a cut above the rest. Bladed weapons deal 15% more damage. Inflict up to 5 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 40% chance to cause 1 Bleeding Wound. Enemies run 15% slower while bleeding. Stamina costs are reduced by 10% and 20% for power attacks. Killing blows grant 5 stamina. Find more bladed weapons and parts in loot.
perkDeepCutsRank4LongDesc,progression,perk Agi,,,You're quite lethal with bladed weapons. Bladed weapons deal 20% more damage. Inflict up to 6 Bleeding Wounds on an enemy and a power attack inflicts 4. Glancing blows have a 70% chance to cause 1 Bleeding Wound. Stamina costs are reduced by 13% and 25% for power attacks. Killing blows grant 10 stamina. Find more bladed weapons and parts in loot.
perkDeepCutsRank5LongDesc,progression,perk Agi,,,You're a samurai and can make sushi out of your foes. Bladed weapons deal 25% more damage. Inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5. All glancing blows cause 1 Bleeding Wound. Enemies run 20% slower while bleeding. Killing blows grant 15 stamina. Find more bladed weapons and parts in loot.
perkHiddenStrikeRank1LongDesc,progression,perk Agi,,,You are a cutthroat who prefers to operate from the shadows and use stealth and sneak attacks. Sneak attacks deal an extra 25% damage.
perkHiddenStrikeRank2LongDesc,progression,perk Agi,,,You are now a butcher and have racked up some kills and are mastering the art assassination. Sneak attacks deal an extra 50% damage.
perkHiddenStrikeRank3LongDesc,progression,perk Agi,,,You are now an executioner and are beginning to master your craft. Sneak attacks deal an extra 75% damage.
perkHiddenStrikeRank4LongDesc,progression,perk Agi,,,You are a cold blooded killer and feel no remorse doing your dark deeds. Sneak attacks deal an extra 100% damage.
perkHiddenStrikeRank5LongDesc,progression,perk Agi,,,You are now the ultimate assassin and can deal maximum sneak damage to your victims. Sneak attacks deal an extra 125% damage.
perkElectrocutionerDesc,progression,perk Int,,,"Learn how to use batons more effectively. Incapacitate your victims easier and do more damage.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkElectrocutionerRank1LongDesc,progression,perk Int,,,"Where are the instructions? You're smart, but remember to point it away from you and pull the trigger. All batons deal 5% more damage. Stun batons electrify victims 20% longer. Stamina costs are reduced by 4% and 8% for power attacks. Find more batons and parts in loot."
perkElectrocutionerRank2LongDesc,progression,perk Int,,,You're getting the hang of using batons to incapacitate your enemies. All batons deal 10% more damage. Stun batons electrify victims 40% longer. Stamina costs are reduced by 8% and 15% for power attacks. Find more batons and parts in loot.
perkElectrocutionerRank3LongDesc,progression,perk Int,,,You're getting dangerous with batons. You could probably knock out cattle if the zombies hadn't ate them all. All batons deal 15% more damage. Stun batons electrify victims 60% longer. Stamina costs are reduced by 10% and 20% for power attacks. Killing blows grant 5 stamina. Find more batons and parts in loot.
perkElectrocutionerRank4LongDesc,progression,perk Int,,,You're lethal with batons. All batons deal 20% more damage. Stun batons electrify victims 80% longer. Stamina costs are reduced by 13% and 25% for power attacks. Killing blows grant 10 stamina. Find more batons and parts in loot.
perkElectrocutionerRank5LongDesc,progression,perk Int,,,You're the last thing they see coming and an executioner with batons. All batons deal 25% more damage. Stun batons electrify victims 100% longer. Killing blows grant 15 stamina.
perkTurretsDesc,progression,perk Int,,,"You are fascinated with robotics. Learn to use and deploy robotic weapons.\nCaters for half of the available increases for damage, stamina etc - increase the other half by Learn-By-Use."
perkTurretsRank1LongDesc,progression,perk Int,,,"You have some crazy innovative ideas but your implementation could use some work. Robotic weapons deal 5% more damage, 15% faster fire rate and reload an extra 5 rounds. Robot active range is increased from 10 to 14 meters.\nYou can deploy multiple robots but only the closest will be active."
perkTurretsRank2LongDesc,progression,perk Int,,,"You are taking your projects to the next level now. Robotic weapons deal 10% more damage, 30% faster fire rate and reload an extra 10 rounds. Robot active range is 15 meters."
perkTurretsRank3LongDesc,progression,perk Int,,,"You have mastered the basics of automated weaponry. Robotic weapons deal 15% more damage, 45% faster fire rate and reload an extra 15 rounds. Robot active range is 16 meters."
perkTurretsRank4LongDesc,progression,perk Int,,,"You must be from the year 2077. You are creating some futuristic technology. Robotic weapons deal 20% more damage, 60% faster fire rate and reload an extra 20 rounds. Reload robotic weapons 10% faster. Robot active range is 17 meters."
perkTurretsRank5LongDesc,progression,perk Int,,,You are now a top expert in robotics. Reload robotic weapons 20% faster and reload an extra 25 rounds. Robot active range is 18 meters.\nTwo deployed robots can be active at once.
